,Tarifa,Estado,Municipio,Division,Anio,Mes,Cargo,Unidades,Costo
196, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
197, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
198, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
199, PDBT,AGUASCALIENTES,SAN JOSE DE GRACIA,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
200, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,ENERO,Fijo,$/mes,27.78
201, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,ENERO,Variable(Energía),$/kWh,3.605
202, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,FEBRERO,Fijo,$/mes,27.78
203, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,FEBRERO,Variable(Energía),$/kWh,3.626
204, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,MARZO,Fijo,$/mes,27.78
205, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,MARZO,Variable(Energía),$/kWh,3.626
206, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,ABRIL,Fijo,$/mes,27.78
207, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,ABRIL,Variable(Energía),$/kWh,3.699
208, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,MAYO,Fijo,$/mes,27.78
209, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,MAYO,Variable(Energía),$/kWh,3.755
210, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,JUNIO,Fijo,$/mes,27.78
211, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,JUNIO,Variable(Energía),$/kWh,3.676
212, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,JULIO,Fijo,$/mes,27.78
213, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,JULIO,Variable(Energía),$/kWh,3.746
214, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,AGOSTO,Fijo,$/mes,27.78
215, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,AGOSTO,Variable(Energía),$/kWh,3.761
216, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,SEPTIEMBRE,Fijo,$/mes,27.78
217, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,SEPTIEMBRE,Variable(Energía),$/kWh,3.776
218, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,OCTUBRE,Fijo,$/mes,27.78
219, PDBT,AGUASCALIENTES,TEPEZALA,BAJÍO,2022,OCTUBRE,Variable(Energía),$/kWh,3.786
220, PDBT,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2022,ENERO,Fijo,$/mes,53.58
221, PDBT,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2022,ENERO,Variable(Energía),$/kWh,2.388
222, PDBT,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2022,FEBRERO,Fijo,$/mes,53.58
223, PDBT,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2022,FEBRERO,Variable(Energía),$/kWh,2.401
224, PDBT,BAJA CALIFORNIA,ENSENADA,BAJA CALIFORNIA,2022,MARZO,Fijo,$/mes,53.58
